Date,Closing_Price,Opening_Price,High_Price,Low_Price,Change_Rate,Volume_Millions,Daily_Change
2024-08-01,156.3,159.3,159.4,156.1,-2.56%,79.15,-3.0
2024-07-31,160.4,158.2,160.7,158.1,1.07%,173.91,2.2
2024-07-30,158.7,158.8,159.2,158.0,-0.63%,138.14,-0.1
2024-07-29,159.7,158.7,160.2,158.4,1.14%,126.28,1.0
2024-07-26,157.9,159.3,159.6,157.9,-0.13%,155.08,-1.4
2024-07-25,158.1,157.0,159.0,156.8,-0.25%,190.62,1.1
2024-07-24,158.5,160.0,160.4,158.4,-1.37%,168.57,-1.5
2024-07-23,160.7,161.6,161.7,159.8,0.50%,165.79,-0.9
2024-07-22,159.9,159.5,159.9,157.9,0.57%,136.12,0.4
2024-07-19,159.0,160.1,160.9,158.7,-1.12%,166.57,-1.1
2024-07-18,160.8,159.1,161.2,158.6,0.69%,202.73,1.7
2024-07-17,159.7,157.5,159.9,157.4,1.59%,181.48,2.2
2024-07-16,157.2,159.5,159.9,156.3,-0.95%,182.23,-2.3
2024-07-12,158.7,158.9,160.5,158.5,-0.50%,250.56,-0.2
2024-07-11,159.5,159.0,160.3,158.4,0.76%,228.26,0.5
2024-07-10,158.3,156.2,158.3,155.7,1.15%,226.57,2.1
2024-07-09,156.5,154.3,157.0,153.5,1.43%,214.95,2.2
2024-07-08,154.3,155.0,155.3,152.9,-1.03%,250.58,-0.7
2024-07-05,155.9,157.5,157.6,155.7,-1.08%,199.5,-1.6
2024-07-04,157.6,159.0,159.1,157.2,-0.57%,220.24,-1.4
2024-07-03,158.5,157.0,158.5,156.7,1.47%,262.91,1.5
2024-07-02,156.2,157.0,157.1,155.3,0.00%,258.89,-0.8
2024-07-01,156.2,154.1,156.4,153.2,2.90%,285.9,2.1
2024-06-28,151.8,151.9,153.5,151.6,0.33%,243.81,-0.1
2024-06-27,151.3,150.4,151.3,149.7,0.00%,210.6,0.9
2024-06-26,151.3,151.0,151.4,149.3,0.27%,211.79,0.3
2024-06-25,150.9,149.4,150.9,148.6,1.00%,210.78,1.5
2024-06-24,149.4,148.0,149.5,147.5,1.63%,213.45,1.4
2024-06-21,147.0,146.0,148.6,146.0,0.68%,244.11,1.0
2024-06-20,146.0,145.7,146.6,145.3,0.27%,174.17,0.3
2024-06-19,145.6,145.5,145.8,144.4,0.07%,199.45,0.1
2024-06-18,145.5,144.0,146.4,144.0,0.41%,188.53,1.5
2024-06-17,144.9,145.2,146.5,144.5,-1.09%,234.21,-0.3
2024-06-14,146.5,146.0,146.9,145.4,-0.88%,421.26,0.5
2024-06-13,147.8,148.0,148.4,147.0,-0.14%,288.6,-0.2
2024-06-12,148.0,149.9,150.0,147.6,-1.46%,362.47,-1.9
2024-06-11,150.2,150.5,151.6,150.2,-0.66%,171.47,-0.3
2024-06-10,151.2,150.4,151.4,149.5,0.80%,205.29,0.8
2024-06-07,150.0,150.0,150.6,150.0,-0.86%,260.57,0.0
2024-06-06,151.3,152.0,152.1,150.5,-0.79%,324.09,-0.7
2024-06-05,152.5,152.6,153.0,152.0,-1.10%,212.28,-0.1
2024-06-04,154.2,154.5,154.7,153.6,-0.52%,151.72,-0.3
2024-06-03,155.0,155.9,156.4,154.6,0.45%,156.84,-0.9
2024-05-31,154.3,152.0,154.7,152.0,1.38%,301.19,2.3
2024-05-30,152.2,151.8,153.0,151.2,0.13%,170.57,0.4
2024-05-29,152.0,153.6,154.4,152.0,-1.17%,215.77,-1.6
2024-05-28,153.8,156.2,156.8,153.2,-1.28%,236.01,-2.4
2024-05-27,155.8,153.5,155.8,152.9,2.10%,217.61,2.3
2024-05-24,152.6,152.0,152.8,151.4,-0.13%,200.56,0.6
2024-05-23,152.8,153.8,154.3,152.0,-1.10%,211.37,-1.0
2024-05-22,154.5,154.8,156.1,153.9,0.85%,220.48,-0.3
2024-05-21,153.2,153.0,153.3,152.3,0.92%,206.23,0.2
2024-05-20,151.8,152.0,154.4,151.5,0.00%,357.28,-0.2
2024-05-17,151.8,152.0,156.5,151.6,-1.43%,417.05,-0.2
2024-05-16,154.0,156.7,157.6,153.4,-1.72%,381.52,-2.7
2024-05-15,156.7,158.1,159.0,156.7,-1.76%,322.15,-1.4
2024-05-14,159.5,160.0,161.3,159.5,-0.44%,289.39,-0.5
